Base,Red,Green,Blue
Red,16335.957746478873,11790.366197183099,3255.3098591549297
Blue,8367.507042253521,2211.676056338028,3165.43661971831
Green,22663.61971830986,4452.056338028169,12149.577464788732
Yellow,65535.0,39641.887323943665,34469.54929577465
Empty,4083.0140845070423,1540.281690140845,1807.7042253521126
